"count","intervention"
"1815","Cyclophosphamide"
"1712","Control"
"1616","laboratory biomarker analysis"
"1597","Pembrolizumab"
"1583","Dexamethasone"
"1515","Laboratory Biomarker Analysis"
"1499","Carboplatin"
"1408","No intervention"
"1408","Cisplatin"
"1371","Paclitaxel"
"1174","Gemcitabine"
"1173","Rituximab"
"1158","Nivolumab"
"1146","Bevacizumab"
"1136","Questionnaire Administration"
"1111","Exercise"
"1037","Docetaxel"
"1034","Metformin"
"937","cyclophosphamide"
"927","radiation therapy"
